id,mes,año,pais,tipoProducto,pesoToneladas,montoMillonesDolares
122,Octubre,2024,Colombia,banano,85,4187.6086
123,Julio,2023,Honduras,pesca,100,4466.878
124,Septiembre,2023,Costa Rica,flores,18,2139.3494
125,Mayo,2023,Costa Rica,banano,99,4631.0453
126,Mayo,2023,Estados Unidos,flores,79,4666.0016
127,Diciembre,2023,Canadá,cacao,69,527.043
128,Septiembre,2025,Canadá,cosméticos,106,3121.2071
129,Mayo,2023,Estados Unidos,cosméticos,133,529.7029
130,Agosto,2024,Colombia,cacao,99,3095.5534
131,Septiembre,2025,México,cacao,38,4964.839
132,Agosto,2023,Argentina,cacao,108,2415.9262
133,Septiembre,2024,Brasil,flores,69,4674.3111
134,Julio,2025,México,banano,43,2874.657
135,Junio,2024,Costa Rica,cosméticos,85,1329.2657
136,Enero,2024,Honduras,cosméticos,51,3942.5986
137,Febrero,2025,Costa Rica,café,68,4071.4383
138,Noviembre,2023,Argentina,textiles,194,4494.998
139,Julio,2023,Honduras,flores,123,2458.6637
140,Diciembre,2023,Colombia,café,196,1967.3331
141,Septiembre,2023,Canadá,frutas,150,3479.9225
142,Abril,2024,Argentina,pesca,177,3343.9257
143,Julio,2024,Honduras,textiles,138,4342.7219
144,Noviembre,2023,Estados Unidos,cosméticos,60,650.5401
145,Octubre,2025,México,cosméticos,199,1753.0704
146,Diciembre,2023,Guatemala,cacao,56,3505.5003
147,Marzo,2024,Honduras,café,185,956.5306
148,Octubre,2024,Brasil,cacao,127,1075.6937
149,Junio,2024,Canadá,banano,129,3143.4397
150,Marzo,2023,Costa Rica,cosméticos,32,2522.4895
151,Junio,2025,Estados Unidos,textiles,161,3233.926
152,Septiembre,2023,Brasil,café,29,1109.1466
153,Febrero,2023,Argentina,pesca,152,896.5651
154,Junio,2024,Colombia,cacao,145,3185.695
155,Mayo,2024,Costa Rica,flores,3,3417.3176
156,Febrero,2023,Brasil,flores,96,3375.9795
157,Junio,2025,Costa Rica,pesca,175,1121.8193
158,Junio,2025,Honduras,café,110,1105.7435
159,Marzo,2023,México,flores,117,2292.4688
160,Enero,2024,Guatemala,cacao,73,1376.3064
161,Octubre,2023,México,café,176,2234.9282
162,Octubre,2024,Brasil,cacao,96,4497.7061
163,Mayo,2024,Canadá,café,3,2570.4946
164,Mayo,2025,Guatemala,textiles,97,1882.8049
165,Abril,2025,Honduras,frutas,138,2045.1121
166,Junio,2023,Canadá,textiles,6,2391.605
167,Abril,2025,Brasil,frutas,74,2867.3252
168,Junio,2025,Honduras,frutas,46,1136.0186
169,Octubre,2024,Colombia,banano,145,2031.5393
170,Mayo,2025,Argentina,textiles,179,3440.0644
171,Diciembre,2025,Honduras,flores,140,4344.1304
172,Mayo,2023,Honduras,flores,47,2822.2631
173,Julio,2024,Guatemala,pesca,127,2475.7124
174,Noviembre,2025,Costa Rica,flores,3,3161.5061
175,Agosto,2023,Brasil,pesca,128,41.9802
176,Julio,2025,Honduras,café,115,2460.0966
177,Diciembre,2025,Honduras,cacao,33,2960.0736
178,Enero,2023,Canadá,cosméticos,189,2423.8284
179,Septiembre,2025,Brasil,pesca,167,4688.1523
180,Junio,2025,Guatemala,pesca,116,136.4841
181,Enero,2023,Colombia,textiles,197,1698.4178
182,Junio,2023,Brasil,banano,67,1205.9854
183,Septiembre,2023,México,frutas,63,3703.0903
184,Diciembre,2023,México,frutas,139,1889.9952
185,Noviembre,2023,Argentina,banano,82,4403.8141
186,Agosto,2024,Estados Unidos,flores,128,1983.3724
187,Junio,2025,México,cacao,167,2164.7347
188,Septiembre,2023,Argentina,banano,4,1551.0353
189,Febrero,2025,Argentina,flores,67,1885.8148
190,Octubre,2025,México,café,85,1501.5612
191,Diciembre,2024,México,cacao,19,2414.2508
192,Febrero,2023,Argentina,frutas,75,1930.0366
193,Diciembre,2025,México,flores,6,120.6101
194,Diciembre,2024,México,frutas,147,1893.4293
195,Diciembre,2023,Argentina,frutas,96,2168.99
196,Diciembre,2025,México,cosméticos,28,4483.4827
197,Diciembre,2025,Canadá,banano,26,918.9882
198,Noviembre,2023,Argentina,banano,135,2831.2486
199,Diciembre,2024,México,flores,103,4625.9729
200,Abril,2025,Canadá,frutas,13,4587.2891
